,ID,Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours,Month Groups
181,28,28,3,6,3,225,26,9,28,343.253,95,0,1,1,0,0,2,69,169,24,0,1
203,2,0,4,2,3,235,29,12,48,326.452,96,1,1,1,0,1,5,88,163,33,0,1
128,34,27,1,3,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,0,1
143,11,22,2,6,2,289,36,13,33,302.585,99,0,1,2,1,0,1,90,172,30,1,1
605,3,27,2,4,2,179,51,18,38,264.249,97,0,1,0,1,0,0,89,170,31,0,1
642,33,23,3,5,2,248,25,14,47,222.196,99,0,1,2,0,0,1,86,165,32,0,1
376,3,27,2,4,2,179,51,18,38,251.818,96,0,1,0,1,0,0,89,170,31,0,1
146,28,28,2,2,2,225,26,9,28,302.585,99,0,1,1,0,0,2,69,169,24,0,1
597,3,27,2,4,2,179,51,18,38,264.249,97,0,1,0,1,0,0,89,170,31,0,1
186,14,28,4,3,3,155,12,14,34,326.452,96,0,1,2,1,0,0,95,196,25,0,1
650,3,27,3,5,3,179,51,18,38,222.196,99,0,1,0,1,0,0,89,170,31,0,1
620,9,25,3,3,2,228,14,16,58,222.196,99,0,1,2,0,0,1,65,172,22,0,1
123,34,27,1,3,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,0,1
661,17,16,4,3,3,179,22,17,40,246.288,91,0,2,2,0,1,0,63,170,22,0,1
158,17,17,3,3,2,179,22,17,40,343.253,95,0,2,2,0,1,0,63,170,22,1,1
384,30,11,2,4,2,157,27,6,29,251.818,96,0,1,0,1,1,0,75,185,22,1,1
188,14,23,4,5,3,155,12,14,34,326.452,96,0,1,2,1,0,0,95,196,25,0,1
138,24,1,2,4,2,246,25,16,41,302.585,99,0,1,0,1,0,0,67,170,23,1,1
571,22,12,1,5,2,179,26,9,30,313.532,96,0,3,0,0,0,0,56,171,19,1,1
644,22,23,3,6,2,179,26,9,30,222.196,99,0,3,0,0,0,0,56,171,19,0,1
131,34,27,1,4,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,0,1
199,14,12,4,4,3,155,12,14,34,326.452,96,0,1,2,1,0,0,95,196,25,1,1
408,3,28,3,6,3,179,51,18,38,244.387,98,0,1,0,1,0,0,89,170,31,1,1
658,6,13,4,5,3,189,29,13,33,246.288,91,0,1,2,0,0,2,69,167,25,1,1
582,11,13,1,4,2,289,36,13,33,313.532,96,0,1,2,1,0,1,90,172,30,1,1
380,6,22,2,2,2,189,29,13,33,251.818,96,0,1,2,0,0,2,69,167,25,1,1
591,22,27,2,5,2,179,26,9,30,264.249,97,0,3,0,0,0,0,56,171,19,0,1
