,Reason for absence,Day of the week,Seasons,Work load Average/day ,Disciplinary failure,Son,Social drinker,Pet,Body mass index,Month Groups,Absenteeism time in hours
181,28,6,3,343.253,0,1,0,2,24,1,0
203,0,2,3,326.452,1,1,0,5,33,1,0
128,27,3,2,308.593,0,0,0,0,28,1,0
143,22,6,2,302.585,0,2,1,1,30,1,0
605,27,4,2,264.249,0,0,1,0,31,1,0
642,23,5,2,222.196,0,2,0,1,32,1,0
376,27,4,2,251.818,0,0,1,0,31,1,0
146,28,2,2,302.585,0,1,0,2,24,1,0
597,27,4,2,264.249,0,0,1,0,31,1,0
186,28,3,3,326.452,0,2,1,0,25,1,0
650,27,5,3,222.196,0,0,1,0,31,1,0
620,25,3,2,222.196,0,2,0,1,22,1,0
123,27,3,2,308.593,0,0,0,0,28,1,0
661,16,3,3,246.288,0,2,0,0,22,1,0
158,17,3,2,343.253,0,2,0,0,22,1,0
384,11,4,2,251.818,0,0,1,0,22,1,1
188,23,5,3,326.452,0,2,1,0,25,1,0
138,1,4,2,302.585,0,0,1,0,23,1,0
571,12,5,2,313.532,0,0,0,0,19,1,1
644,23,6,2,222.196,0,0,0,0,19,1,0
131,27,4,2,308.593,0,0,0,0,28,1,0
199,12,4,3,326.452,0,2,1,0,25,1,1
408,28,6,3,244.387,0,0,1,0,31,1,0
658,13,5,3,246.288,0,2,0,2,25,1,0
582,13,4,2,313.532,0,2,1,1,30,1,0
380,22,2,2,251.818,0,2,0,2,25,1,0
591,27,5,2,264.249,0,0,0,0,19,1,0
382,23,3,2,251.818,0,0,1,0,23,1,0
363,26,2,2,330.061,0,2,1,1,30,1,0
645,27,6,2,222.196,0,0,1,0,31,1,0
173,13,3,2,343.253,0,0,1,0,31,1,1
129,18,3,2,308.593,0,0,0,0,19,1,0
168,6,5,2,343.253,0,2,1,1,30,1,0
415,22,2,3,239.409,0,3,1,0,25,1,0
608,25,2,2,264.249,0,2,1,0,25,1,0
640,25,4,2,222.196,0,2,0,1,22,1,0
195,28,6,3,326.452,0,1,1,1,25,1,0
596,7,3,2,264.249,0,1,0,2,24,1,0
151,18,2,2,302.585,0,0,0,0,25,1,0
409,22,6,3,244.387,0,2,1,1,30,1,0
371,7,4,2,251.818,0,1,0,2,24,1,0
643,27,5,2,222.196,0,0,1,0,31,1,0
190,28,6,3,326.452,0,4,1,0,23,1,0
385,27,4,2,251.818,0,0,1,0,31,1,0
593,27,6,2,264.249,0,0,1,0,31,1,0
403,14,3,3,244.387,0,1,1,0,31,1,0
579,18,3,2,313.532,0,2,1,0,25,1,0
359,19,2,2,330.061,0,0,0,0,28,1,1
392,28,6,2,244.387,0,0,1,0,23,1,0
419,23,2,3,239.409,0,1,1,0,31,1,0
197,19,6,3,326.452,0,4,1,0,23,1,1
651,13,2,3,222.196,0,0,0,0,19,1,0
386,27,6,2,251.818,0,0,1,0,31,1,0
410,19,2,3,244.387,0,4,1,0,23,1,0
182,14,6,3,343.253,0,2,0,1,32,1,0
115,27,3,2,308.593,0,0,0,0,28,1,0
391,19,4,2,244.387,0,0,1,0,23,1,1
670,28,3,3,246.288,0,2,1,0,25,1,0
610,27,2,2,264.249,0,0,1,0,31,1,0
399,22,4,2,244.387,0,1,1,4,27,1,0
394,28,2,2,244.387,0,0,1,0,31,1,0
664,10,4,3,246.288,0,0,0,0,28,1,0
364,3,4,2,330.061,0,1,1,1,25,1,0
142,28,6,2,302.585,0,4,1,0,23,1,0
