,Reason for absence,Day of the week,Seasons,Work load Average/day ,Disciplinary failure,Son,Social drinker,Pet,Body mass index,Month Groups,Absenteeism time in hours
538,1,6,4,268.519,0,0,0,0,25,3,1
65,23,5,4,253.465,0,0,0,0,19,3,0
283,26,4,4,294.217,0,1,1,0,38,3,1
518,23,3,4,284.853,0,1,0,2,24,3,1
281,28,6,1,294.217,0,1,1,1,25,3,1
58,0,4,4,241.476,1,3,1,0,25,3,0
344,28,6,4,236.629,0,4,1,0,23,3,1
106,28,5,4,261.306,0,1,0,2,24,3,0
85,10,2,4,306.345,0,2,1,0,25,3,1
337,0,3,4,284.031,1,2,1,0,24,3,0
322,1,2,4,284.031,0,2,0,4,21,3,1
505,23,3,4,261.756,0,3,1,0,25,3,1
499,28,5,1,261.756,0,1,1,1,25,3,0
56,18,4,4,241.476,0,1,0,2,24,3,0
545,23,2,4,268.519,0,0,0,0,28,3,1
512,23,3,4,284.853,0,0,0,0,28,3,0
496,28,3,1,261.756,0,0,1,0,23,3,0
495,28,3,1,261.756,0,0,1,0,23,3,0
321,23,2,4,284.031,0,1,1,1,25,3,0
100,23,4,4,261.306,0,1,1,0,31,3,0
534,2,4,4,268.519,0,0,0,0,25,3,1
565,13,3,4,280.549,0,0,0,0,19,3,1
279,9,4,1,294.217,0,0,1,0,23,3,1
314,1,4,4,265.017,0,0,0,0,19,3,1
343,28,3,4,236.629,0,1,1,0,31,3,0
549,0,4,4,268.519,1,2,1,1,30,3,0
356,28,2,2,236.629,0,0,1,0,31,3,0
567,23,5,4,280.549,0,1,0,2,24,3,0
516,23,3,4,284.853,0,3,1,0,25,3,1
554,28,2,4,268.519,0,1,1,4,27,3,0
305,23,2,4,265.017,0,1,1,0,38,3,0
294,0,6,4,265.017,1,2,0,1,32,3,0
532,21,3,4,268.519,0,0,1,0,31,3,0
270,11,2,1,294.217,0,0,1,0,31,3,1
78,23,6,4,253.465,0,1,1,4,27,3,0
301,19,5,4,265.017,0,2,1,1,30,3,1
507,4,5,4,284.853,0,0,0,2,36,3,0
506,22,3,4,261.756,0,1,1,4,27,3,1
308,23,5,4,265.017,0,0,0,0,19,3,1
557,23,4,4,280.549,0,1,0,2,24,3,0
107,28,6,4,261.306,0,4,1,0,23,3,0
553,26,6,4,268.519,0,3,1,0,25,3,1
310,10,2,4,265.017,0,1,1,4,27,3,1
108,23,3,4,261.306,0,1,0,2,24,3,0
272,19,4,1,294.217,0,2,1,1,30,3,1
69,23,4,4,253.465,0,1,0,2,24,3,0
311,0,3,4,265.017,1,4,1,0,23,3,0
323,11,2,4,284.031,0,2,1,0,25,3,1
276,0,3,1,294.217,1,2,1,2,35,3,0
45,23,2,1,241.476,0,0,0,0,28,3,0
96,7,4,4,306.345,0,2,1,1,30,3,1
317,11,2,4,284.031,0,0,0,0,28,3,1
339,12,2,4,236.629,0,1,0,2,24,3,0
350,25,5,4,236.629,0,1,0,1,29,3,0
105,22,4,4,261.306,0,1,1,4,27,3,1
333,28,3,4,284.031,0,0,1,0,31,3,0
533,28,4,4,268.519,0,0,0,0,28,3,0
336,0,6,4,284.031,1,2,0,4,21,3,0
71,23,5,4,253.465,0,1,1,1,25,3,1
52,23,3,4,241.476,0,1,0,2,24,3,0
75,14,3,4,253.465,0,1,1,1,25,3,1
68,23,3,4,253.465,0,0,0,0,28,3,0
