,ID,Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours,Month Groups
494,20,28,8,2,1,260,50,11,36,249.797,93,0,1,4,1,0,0,65,168,23,0,2
716,36,19,6,5,3,118,13,18,50,275.089,96,0,1,1,1,0,0,98,178,31,0,2
10,20,1,7,2,1,260,50,11,36,239.554,97,0,1,4,1,0,0,65,168,23,0,2
684,22,27,5,6,3,179,26,9,30,237.656,99,0,3,0,0,0,0,56,171,19,0,2
734,13,13,7,2,1,369,17,12,31,264.604,93,0,1,3,1,0,0,70,169,25,1,2
471,28,9,7,3,1,225,26,9,28,230.29,92,0,1,1,0,0,2,69,169,24,1,2
260,33,23,8,4,1,248,25,14,47,265.615,94,0,1,2,0,0,1,86,165,32,0,2
711,36,19,6,5,3,118,13,18,50,275.089,96,0,1,1,1,0,0,98,178,31,1,2
25,10,25,8,2,1,361,52,3,28,205.917,92,0,1,1,1,0,4,80,172,27,0,2
679,22,13,5,5,3,179,26,9,30,237.656,99,0,3,0,0,0,0,56,171,19,0,2
18,6,11,7,5,1,189,29,13,33,239.554,97,0,1,2,0,0,2,69,167,25,0,2
233,3,11,6,6,3,179,51,18,38,377.55,94,0,1,0,1,0,0,89,170,31,0,2
709,34,10,6,4,3,118,10,10,37,275.089,96,0,1,0,0,0,0,83,172,28,0,2
219,10,22,5,6,3,361,52,3,28,378.884,92,0,1,1,1,0,4,80,172,27,0,2
243,18,1,7,2,1,330,16,4,28,275.312,98,0,2,0,0,0,0,84,182,25,0,2
694,15,22,5,4,3,291,31,12,40,237.656,99,0,1,1,1,0,1,73,171,25,0,2
724,12,22,6,4,1,233,51,1,31,275.089,96,0,2,1,1,0,8,68,178,21,0,2
431,20,28,5,6,3,260,50,11,36,246.074,99,0,1,4,1,0,0,65,168,23,0,2
469,2,23,7,2,1,235,29,12,48,230.29,92,0,1,1,0,1,5,88,163,33,0,2
16,3,23,7,6,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,0,2
474,10,22,7,6,1,361,52,3,28,230.29,92,0,1,1,1,0,4,80,172,27,0,2
230,36,23,6,3,3,118,13,18,50,377.55,94,0,1,1,1,0,0,98,178,31,0,2
483,34,28,8,3,1,118,10,10,37,249.797,93,0,1,0,0,0,0,83,172,28,0,2
38,2,28,8,6,1,235,29,12,48,205.917,92,0,1,1,0,1,5,88,163,33,0,2
457,24,28,6,6,1,246,25,16,41,253.957,95,0,1,0,1,0,0,67,170,23,0,2
224,24,10,6,6,3,246,25,16,41,377.55,94,0,1,0,1,0,0,67,170,23,0,2
705,28,11,5,2,3,225,26,9,28,237.656,99,0,1,1,0,0,2,69,169,24,0,2
484,11,26,8,3,1,289,36,13,33,249.797,93,0,1,2,1,0,1,90,172,30,0,2
704,14,10,5,6,3,155,12,14,34,237.656,99,0,1,2,1,0,0,95,196,25,0,2
690,23,0,5,4,3,378,49,11,36,237.656,99,1,1,2,0,1,4,65,174,21,0,2
721,12,22,6,5,1,233,51,1,31,275.089,96,0,2,1,1,0,8,68,178,21,0,2
478,15,28,7,5,1,291,31,12,40,230.29,92,0,1,1,1,0,1,73,171,25,0,2
434,9,18,5,4,3,228,14,16,58,246.074,99,0,1,2,0,0,1,65,172,22,0,2
467,34,28,7,3,1,118,10,10,37,230.29,92,0,1,0,0,0,0,83,172,28,0,2
237,36,1,7,4,1,118,13,18,50,275.312,98,0,1,1,1,0,0,98,178,31,0,2
456,22,21,6,4,1,179,26,9,30,253.957,95,0,3,0,0,0,0,56,171,19,0,2
259,11,23,8,3,1,289,36,13,33,265.615,94,0,1,2,1,0,1,90,172,30,0,2
445,20,28,6,6,3,260,50,11,36,253.957,95,0,1,4,1,0,0,65,168,23,0,2
439,1,1,5,2,3,235,11,14,37,246.074,99,0,3,1,0,0,1,88,172,29,0,2
231,36,13,6,4,3,118,13,18,50,377.55,94,0,1,1,1,0,0,98,178,31,1,2
265,1,23,8,3,1,235,11,14,37,265.615,94,0,3,1,0,0,1,88,172,29,0,2
232,23,22,6,5,3,378,49,11,36,377.55,94,0,1,2,0,1,4,65,174,21,0,2
427,13,10,5,2,3,369,17,12,31,246.074,99,0,1,3,1,0,0,70,169,25,0,2
248,3,26,7,5,1,179,51,18,38,275.312,98,0,1,0,1,0,0,89,170,31,0,2
436,18,13,5,6,3,330,16,4,28,246.074,99,0,2,0,0,0,0,84,182,25,0,2
691,17,16,5,6,3,179,22,17,40,237.656,99,0,2,2,0,1,0,63,170,22,0,2
674,1,22,5,2,3,235,11,14,37,237.656,99,0,3,1,0,0,1,88,172,29,0,2
430,10,23,5,5,3,361,52,3,28,246.074,99,0,1,1,1,0,4,80,172,27,0,2
29,3,23,8,6,1,179,51,18,38,205.917,92,0,1,0,1,0,0,89,170,31,0,2
443,34,28,6,3,3,118,10,10,37,253.957,95,0,1,0,0,0,0,83,172,28,0,2
239,34,26,7,6,1,118,10,10,37,275.312,98,0,1,0,0,0,0,83,172,28,0,2
246,10,22,7,3,1,361,52,3,28,275.312,98,0,1,1,1,0,4,80,172,27,0,2
5,3,23,7,6,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,0,2
220,24,19,6,2,3,246,25,16,41,377.55,94,0,1,0,1,0,0,67,170,23,0,2
487,3,25,8,2,1,179,51,18,38,249.797,93,0,1,0,1,0,0,89,170,31,0,2
463,21,7,7,2,1,268,11,8,33,230.29,92,0,2,0,0,0,0,79,178,25,0,2
261,21,11,8,5,1,268,11,8,33,265.615,94,0,2,0,0,0,0,79,178,25,0,2
229,1,13,6,6,3,235,11,14,37,377.55,94,0,3,1,0,0,1,88,172,29,1,2
688,36,0,5,3,3,118,13,18,50,237.656,99,1,1,1,1,0,0,98,178,31,0,2
723,34,10,6,4,1,118,10,10,37,275.089,96,0,1,0,0,0,0,83,172,28,0,2
460,22,23,7,5,1,179,26,9,30,230.29,92,0,3,0,0,0,0,56,171,19,0,2
31,2,18,8,5,1,235,29,12,48,205.917,92,0,1,1,0,1,5,88,163,33,0,2
12,20,11,7,4,1,260,50,11,36,239.554,97,0,1,4,1,0,0,65,168,23,0,2
35,10,23,8,2,1,361,52,3,28,205.917,92,0,1,1,1,0,4,80,172,27,0,2
28,11,18,8,4,1,289,36,13,33,205.917,92,0,1,2,1,0,1,90,172,30,0,2
206,14,28,5,2,3,155,12,14,34,378.884,92,0,1,2,1,0,0,95,196,25,0,2
720,34,25,6,2,1,118,10,10,37,275.089,96,0,1,0,0,0,0,83,172,28,0,2
466,20,26,7,2,1,260,50,11,36,230.29,92,0,1,4,1,0,0,65,168,23,0,2
706,16,7,6,4,3,118,15,24,46,275.089,96,0,1,2,1,1,0,75,175,25,0,2
215,23,0,5,4,3,378,49,11,36,378.884,92,1,1,2,0,1,4,65,174,21,0,2
455,3,5,6,4,1,179,51,18,38,253.957,95,0,1,0,1,0,0,89,170,31,0,2
693,25,10,5,2,3,235,16,8,32,237.656,99,0,3,0,0,0,0,75,178,25,0,2
240,18,26,7,3,1,330,16,4,28,275.312,98,0,2,0,0,0,0,84,182,25,0,2
205,14,28,5,5,3,155,12,14,34,378.884,92,0,1,2,1,0,0,95,196,25,0,2
480,3,25,8,5,1,179,51,18,38,249.797,93,0,1,0,1,0,0,89,170,31,0,2
477,24,28,7,3,1,246,25,16,41,230.29,92,0,1,0,1,0,0,67,170,23,0,2
242,14,25,7,6,1,155,12,14,34,275.312,98,0,1,2,1,0,0,95,196,25,0,2
459,1,13,6,3,1,235,11,14,37,253.957,95,0,3,1,0,0,1,88,172,29,0,2
26,11,23,8,3,1,289,36,13,33,205.917,92,0,1,2,1,0,1,90,172,30,0,2
728,34,28,7,2,1,118,10,10,37,264.604,93,0,1,0,0,0,0,83,172,28,0,2
475,11,22,7,2,1,289,36,13,33,230.29,92,0,1,2,1,0,1,90,172,30,0,2
676,25,28,5,4,3,235,16,8,32,237.656,99,0,3,0,0,0,0,75,178,25,0,2
451,5,26,6,3,3,235,20,13,43,253.957,95,0,1,1,1,0,0,106,167,38,0,2
0,11,26,7,3,1,289,36,13,33,239.554,97,0,1,2,1,0,1,90,172,30,0,2
2,3,23,7,4,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,0,2
241,22,18,7,5,1,179,26,9,30,275.312,98,0,3,0,0,0,0,56,171,19,0,2
210,14,28,5,2,3,155,12,14,34,378.884,92,0,1,2,1,0,0,95,196,25,0,2
264,33,25,8,2,1,248,25,14,47,265.615,94,0,1,2,0,0,1,86,165,32,0,2
438,34,28,5,2,3,118,10,10,37,246.074,99,0,1,0,0,0,0,83,172,28,0,2
462,20,13,7,6,1,260,50,11,36,230.29,92,0,1,4,1,0,0,65,168,23,0,2
489,18,23,8,5,1,330,16,4,28,249.797,93,0,2,0,0,0,0,84,182,25,1,2
254,11,23,8,2,1,289,36,13,33,265.615,94,0,1,2,1,0,1,90,172,30,0,2
249,11,19,7,2,1,289,36,13,33,275.312,98,0,1,2,1,0,1,90,172,30,1,2
683,29,22,5,6,3,225,15,15,41,237.656,99,0,4,2,1,0,2,94,182,28,0,2
725,5,26,7,4,1,235,20,13,43,264.604,93,0,1,1,1,0,0,106,167,38,0,2
262,22,23,8,5,1,179,26,9,30,265.615,94,0,3,0,0,0,0,56,171,19,0,2
36,11,24,8,3,1,289,36,13,33,205.917,92,0,1,2,1,0,1,90,172,30,0,2
458,18,11,6,3,1,330,16,4,28,253.957,95,0,2,0,0,0,0,84,182,25,0,2
225,3,11,6,2,3,179,51,18,38,377.55,94,0,1,0,1,0,0,89,170,31,0,2
22,10,13,8,2,1,361,52,3,28,205.917,92,0,1,1,1,0,4,80,172,27,1,2
437,22,25,5,2,3,179,26,9,30,246.074,99,0,3,0,0,0,0,56,171,19,0,2
473,36,23,7,6,1,118,13,18,50,230.29,92,0,1,1,1,0,0,98,178,31,0,2
730,6,22,7,3,1,189,29,13,33,264.604,93,0,1,2,0,0,2,69,167,25,1,2
33,2,18,8,2,1,235,29,12,48,205.917,92,0,1,1,0,1,5,88,163,33,0,2
11,20,1,7,3,1,260,50,11,36,239.554,97,0,1,4,1,0,0,65,168,23,0,2
731,34,23,7,4,1,118,10,10,37,264.604,93,0,1,0,0,0,0,83,172,28,0,2
27,30,28,8,4,1,157,27,6,29,205.917,92,0,1,0,1,1,0,75,185,22,0,2
465,34,26,7,6,1,118,10,10,37,230.29,92,0,1,0,0,0,0,83,172,28,0,2
