,ID,Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours,Month Groups
538,25,1,11,6,4,235,16,8,32,268.519,93,0,3,0,0,0,0,75,178,25,0,3
65,22,23,10,5,4,179,26,9,30,253.465,93,0,3,0,0,0,0,56,171,19,0,3
283,5,26,9,4,4,235,20,13,43,294.217,81,0,1,1,1,0,0,106,167,38,0,3
518,28,23,10,3,4,225,26,9,28,284.853,91,0,1,1,0,0,2,69,169,24,0,3
281,15,28,9,6,1,291,31,12,40,294.217,81,0,1,1,1,0,1,73,171,25,0,3
58,13,0,9,4,4,369,17,12,31,241.476,92,1,1,3,1,0,0,70,169,25,0,3
344,20,28,12,6,4,260,50,11,36,236.629,93,0,1,4,1,0,0,65,168,23,0,3
106,28,28,12,5,4,225,26,9,28,261.306,97,0,1,1,0,0,2,69,169,24,0,3
85,14,10,11,2,4,155,12,14,34,306.345,93,0,1,2,1,0,0,95,196,25,1,3
337,7,0,11,3,4,279,5,14,39,284.031,97,1,1,2,1,1,0,68,168,24,0,3
322,23,1,11,2,4,378,49,11,36,284.031,97,0,1,2,0,1,4,65,174,21,0,3
505,13,23,9,3,4,369,17,12,31,261.756,87,0,1,3,1,0,0,70,169,25,0,3
499,15,28,9,5,1,291,31,12,40,261.756,87,0,1,1,1,0,1,73,171,25,0,3
56,28,18,9,4,4,225,26,9,28,241.476,92,0,1,1,0,0,2,69,169,24,0,3
545,34,23,11,2,4,118,10,10,37,268.519,93,0,1,0,0,0,0,83,172,28,0,3
512,34,23,10,3,4,118,10,10,37,284.853,91,0,1,0,0,0,0,83,172,28,0,3
496,24,28,9,3,1,246,25,16,41,261.756,87,0,1,0,1,0,0,67,170,23,0,3
495,24,28,9,3,1,246,25,16,41,261.756,87,0,1,0,1,0,0,67,170,23,0,3
321,15,23,11,2,4,291,31,12,40,284.031,97,0,1,1,1,0,1,73,171,25,0,3
100,36,23,12,4,4,118,13,18,50,261.306,97,0,1,1,1,0,0,98,178,31,0,3
534,18,2,11,4,4,330,16,4,28,268.519,93,0,2,0,0,0,0,84,182,25,1,3
565,22,13,12,3,4,179,26,9,30,280.549,98,0,3,0,0,0,0,56,171,19,1,3
279,24,9,9,4,1,246,25,16,41,294.217,81,0,1,0,1,0,0,67,170,23,1,3
314,22,1,10,4,4,179,26,9,30,265.017,88,0,3,0,0,0,0,56,171,19,0,3
343,36,28,12,3,4,118,13,18,50,236.629,93,0,1,1,1,0,0,98,178,31,0,3
549,11,0,11,4,4,289,36,13,33,268.519,93,1,1,2,1,0,1,90,172,30,0,3
356,3,28,12,2,2,179,51,18,38,236.629,93,0,1,0,1,0,0,89,170,31,0,3
567,28,23,12,5,4,225,26,9,28,280.549,98,0,1,1,0,0,2,69,169,24,0,3
516,13,23,10,3,4,369,17,12,31,284.853,91,0,1,3,1,0,0,70,169,25,0,3
554,10,28,11,2,4,361,52,3,28,268.519,93,0,1,1,1,0,4,80,172,27,0,3
